ACT;Years;No;1000;500;400;350;310;300;290
coal_extr;2020;38.14;38.14;38.14;38.14;38.14;38.14;38.14;38.14
coal_extr;2030;41.68;41.68;27.58;27.44;12.29;0;0;0
coal_extr;2040;78.09;78.09;27.58;0;0;0;0;0
coal_extr;2050;92.44;56.74;0.14;0;0;0;0;0
coal_extr;2060;113.8;42.5;0;0;0;0;0;0
coal_extr;2070;131.02;6.08;0;0;0;0;0;0
coal_extr;2080;151.37;0;0;0;0;0;0;0
gas_extr;2020;33.33;33.33;33.33;33.33;33.33;33.33;33.33;33.33
gas_extr;2030;14.63;14.63;14.63;3.38;0;0;0;0
gas_extr;2040;0;0;0;0;0;0;0;0
gas_extr;2050;0;0;0;0;0;0;0;0
gas_extr;2060;0;0;0;0;0;0;0;0
gas_extr;2070;0;0;0;0;0;0;0;0
gas_extr;2080;0;0;0;0;0;0;0;0
oil_extr;2020;47.25;47.25;47.25;47.25;47.25;47.25;47.25;47.25
oil_extr;2030;2.53;2.53;2.53;2.53;2.53;2.53;2.53;1.93
oil_extr;2040;2.82;2.82;2.82;2.82;2.82;2.82;2.82;0.77
oil_extr;2050;3.23;3.23;3.23;3.23;3.23;3.23;2.76;0.88
oil_extr;2060;3.62;3.62;3.62;3.62;3.62;3.62;0.98;0.98
oil_extr;2070;4.12;4.12;4.12;4.12;4.12;4.12;1.12;0
oil_extr;2080;4.7;4.7;4.7;4.7;4.7;2.21;1.28;0
nuclear_fuel;2020;2.68;2.68;2.68;2.68;2.68;2.68;2.68;2.68
nuclear_fuel;2030;2.68;2.68;2.68;2.68;2.68;2.68;2.68;2.68
nuclear_fuel;2040;2.68;2.68;2.68;2.68;2.68;2.68;2.68;2.68
nuclear_fuel;2050;2.68;2.68;2.68;2.68;2.68;2.68;2.68;2.68
nuclear_fuel;2060;0;0;0;0;0;0;0;0
nuclear_fuel;2070;0;0;0;0;0;0;0;0
nuclear_fuel;2080;0;0;0;0;0;0;0;0
bio_pot;2020;13.08;13.08;13.08;13.08;13.08;13.08;13.08;13.08
bio_pot;2030;0;0;0;0;0;0;0;0.6
bio_pot;2040;0;0;0;0;0;0;0;0.77
bio_pot;2050;0;0;0;0;0;0;0.48;0.88
